тип;название;Модель;Топливо;Давление, атм;Паропроизводительность, кг/ч;температура пара;КПД;мощность, кВт;Производство пара, кг/ч;Расход газа;Расход дизеля;Расход мазута;Расход твердого топлиё
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-800;дизель;0,7-25;100-3000;115-225;92;;800;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-900;дизель;0,7-25;100-3000;115-225;92;;900;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1000;дизель;0,7-25;100-3000;115-225;92;;1000;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1200;дизель;0,7-25;100-3000;115-225;92;;1200;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1600;дизель;0,7-25;100-3000;115-225;92;;1600;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2000;дизель;0,7-25;100-3000;115-225;92;;2000;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2500;дизель;0,7-25;100-3000;115-225;92;;2500;;;;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-3000;дизель;0,7-25;100-3000;115-225;92;;3000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1000;дизель;10-170;1000-10000;185-350;92;;1000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1200;дизель;10-170;1000-10000;185-350;92;;1200;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1600;дизель;10-170;1000-10000;185-350;92;;1600;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2000;дизель;10-170;1000-10000;185-350;92;;2000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2500;дизель;10-170;1000-10000;185-350;92;;2500;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3000;дизель;10-170;1000-10000;185-350;92;;3000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3500;дизель;10-170;1000-10000;185-350;92;;3500;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-4000;дизель;10-170;1000-10000;185-350;92;;4000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-5000;дизель;10-170;1000-10000;185-350;92;;5000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-6000;дизель;10-170;1000-10000;185-350;92;;6000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-7000;дизель;10-170;1000-10000;185-350;92;;7000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-8000;дизель;10-170;1000-10000;185-350;92;;8000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-9000;дизель;10-170;1000-10000;185-350;92;;9000;;;;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-10000;дизель;10-170;1000-10000;185-350;92;;10000;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-30;дизель;0,7-25;30-2000;115-225;92;;30;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-50;дизель;0,7-25;30-2000;115-225;92;;50;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-70;дизель;0,7-25;30-2000;115-225;92;;70;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-100;дизель;0,7-25;30-2000;115-225;92;;100;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-150;дизель;0,7-25;30-2000;115-225;92;;150;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-250;дизель;0,7-25;30-2000;115-225;92;;250;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-300;дизель;0,7-25;30-2000;115-225;92;;300;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-500;дизель;0,7-25;30-2000;115-225;92;;500;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1000;дизель;0,7-25;30-2000;115-225;92;;1000;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1500;дизель;0,7-25;30-2000;115-225;92;;1500;;;;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-2000;дизель;0,7-25;30-2000;115-225;92;;2000;;;;;;;;
